token_type,token_address,receiver,amount,id
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x787a7da17544bcc3a0febcd2c24c831ea55ae83f,82136,marks-0x787a7da17544bcc3a0febcd2c24c831ea55ae83f
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x3Fdaf8A9af23D27C884e10820130eAB1dB6dDBeD,81917,marks-0x3fdaf8a9af23d27c884e10820130eab1db6ddbed
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x3e3672B23eB22946A31263d2D178bF0fB1f4BBFD,80489,marks-0x3e3672b23eb22946a31263d2d178bf0fb1f4bbfd
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x742fC5146d7Ff18291E3B7499811AD87015Fc7E4,80189,marks-0x742fc5146d7ff18291e3b7499811ad87015fc7e4
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x930FEAE1B277FF60B836D2cE27f162555A5B98b9,79995,marks-0x930feae1b277ff60b836d2ce27f162555a5b98b9
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xAE7Dbb17bc40D53A6363409c6B1ED88d3cFdc31e,79017,marks-0xae7dbb17bc40d53a6363409c6b1ed88d3cfdc31e
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x98e917437041f213472c02835cddc39356086618,78479,marks-0x98e917437041f213472c02835cddc39356086618
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x31632636D664895f1BD9D03f5F7c162A2A6980EB,78436,marks-0x31632636d664895f1bd9d03f5f7c162a2a6980eb
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xcadF9F065e96516483afF69fBd8D0b81201199d9,76976,marks-0xcadf9f065e96516483aff69fbd8d0b81201199d9
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x9bABfC1A1952a6ed2caC1922BFfE80c0506364a2,76769,marks-0x9babfc1a1952a6ed2cac1922bffe80c0506364a2
