token_type,token_address,receiver,amount,id
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xf81Bc9C1e9EAD7C227fb359F07a5fceD0d071f47,1532846,airdropped-rank-2
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x49afcb12da7d59b5e74d4bb01f9855e02346b0c8,766423,airdropped-rank-5
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xEE0C9542071B71BDCF8Ae61d457cF513e2017F44,547445,airdropped-rank-6
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x930feae1b277ff60b836d2ce27f162555a5b98b9,547445,airdropped-rank-7
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x5747B578bbA1A390aA381da0ab7d0537828937e9,328467,airdropped-rank-11
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x23Ce5F344A5034a893bF69727a2B32b49Ed0E864,328467,airdropped-rank-13
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x98e917437041f213472C02835cdDC39356086618,328467,airdropped-rank-14
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x84afb4B60844F8759154d6Ff7B0580Daa2D4e37d,328467,airdropped-rank-15
