token_type,token_address,receiver,amount,id
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x810E30271Cdbd01769a7a4Aade0d22Eda193558d,2189793,booster-v2-rank-1
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x315efd2f91fe761692ec59882cde3a4cd7ac1135,1094890,booster-v2-rank-3
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0xcadf9f065e96516483aff69fbd8d0b81201199d9,328467,booster-v2-rank-18
erc20,0xDA187eB6F4D7eE3a0b8f5cd81eED8d347f5693aD,0x9a717799733552A3a49667Dee2b6341BC4d8a38d,175182,booster-v2-rank-28
